accession id	name	scientific name	source database	taxId	length	entry protein locations	gene names
A0A024RC70	P/Homo B domain-containing protein	Homo sapiens	unreviewed	9606	794	144..427	FURIN
A0A024RCD0	Proprotein convertase subtilisin/kexin type 6, isoform CRA_g	Homo sapiens	unreviewed	9606	839	66..349	PCSK6
A0A024RCE2	Proprotein convertase subtilisin/kexin type 6, isoform CRA_f	Homo sapiens	unreviewed	9606	826	66..349	PCSK6
A0A087WY68	P/Homo B domain-containing protein	Homo sapiens	unreviewed	9606	975	196..479	PCSK6
A0A087WZR0	P/Homo B domain-containing protein	Homo sapiens	unreviewed	9606	962	196..479	PCSK6
A0A140VJQ9	P/Homo B domain-containing protein	Homo sapiens	unreviewed	9606	755	149..432	
A0A2R8Y7U1	Tripeptidyl-peptidase 1	Homo sapiens	unreviewed	9606	400	155..327	TPP1
A0A2R8YGD1	Tripeptidyl-peptidase 1	Homo sapiens	unreviewed	9606	470	224..397	TPP1
A0A494C0U1	Tripeptidyl-peptidase 2	Homo sapiens	unreviewed	9606	1179	31..496	TPP2
A0A494C0X4	Peptidase S8/S53 domain-containing protein	Homo sapiens	unreviewed	9606	419	35..416	TPP2
A0A494C1B8	Tripeptidyl-peptidase 2	Homo sapiens	unreviewed	9606	1173	35..338,340..424	TPP2
A0A669KA35	P/Homo B domain-containing protein	Homo sapiens	unreviewed	9606	1887	162..445	PCSK5
A0A669KBG0	Proprotein convertase subtilisin/kexin type 9	Homo sapiens	unreviewed	9606	567	56..294	PCSK9
A0A7I2V2Z7	Proprotein convertase subtilisin/kexin type 6	Homo sapiens	unreviewed	9606	260	116..164	PCSK6
A0A7I2V3M4	P/Homo B domain-containing protein	Homo sapiens	unreviewed	9606	538	49..135	PCSK6
A0A7I2V3T2	P/Homo B domain-containing protein	Homo sapiens	unreviewed	9606	256	29..108	PCSK6
A0A7I2YQH5	P/Homo B domain-containing protein	Homo sapiens	unreviewed	9606	849	196..479	PCSK6
A0A7P0T8P1	Furin	Homo sapiens	unreviewed	9606	228	144..192	FURIN
A0A7P0T8U2	P/Homo B domain-containing protein	Homo sapiens	unreviewed	9606	792	142..425	FURIN
A0A7P0T9X7	Furin	Homo sapiens	unreviewed	9606	234	144..192	FURIN
