accession id	name	scientific name	source database	taxId	length	entry protein locations	gene names
A0A024R1K7	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	246	11..234	YWHAH
A0A0J9YWE8	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	149	11..100	YWHAB
A0A0J9YWZ2	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	81	2..76	YWHAB
A2IDB2	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	162	17..162	YWHAH
B0AZS6	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	168	2..152	YWHAZ
B2R6N6	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	246	11..234	
B3KNB4	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	247	10..234	
B3KT37	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	118	11..88	
B4DE78	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	207	10..94,95..194	
B4DHC4	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	225	1..212	
B4DJB0	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	139	11..115	
B4DJF2	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	94	11..90	YWHAE
B4DMT8	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	210	10..194	
B4DY04	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	125	1..109	
B5BU24	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	246	11..231	YWHAB
B7Z2E6	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	125	1..109	YWHAZ
B7ZA86	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	168	2..145	
D0PNI1	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	245	9..229	YWHAZ
E5RGE1	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	51	9..51	YWHAZ
E5RIR4	14-3-3 domain-containing protein	Homo sapiens	unreviewed	9606	75	9..73	YWHAZ
