accession id	name	scientific name	source database	taxId	length	entry protein locations	gene names
A0A024QYW7	Serine/threonine-protein kinase	Homo sapiens	unreviewed	9606	311	33..286	PIM2
A0A024QYY7	Serine/threonine-protein kinase	Homo sapiens	unreviewed	9606	1036	9..271	ULK2
A0A024QZ12	Mitogen-activated protein kinase	Homo sapiens	unreviewed	9606	527	141..427	NLK
A0A024QZ20	Mitogen-activated protein kinase	Homo sapiens	unreviewed	9606	816	55..347	MAPK7
A0A024QZ50	Protein kinase domain-containing protein	Homo sapiens	unreviewed	9606	289	113..270	FLJ25006
A0A024QZ70	Protein kinase domain-containing protein	Homo sapiens	unreviewed	9606	1001	29..280	TAOK1
A0A024QZE8	phosphorylase kinase	Homo sapiens	unreviewed	9606	297	1..182	PHKG2
A0A024QZI4	Protein kinase domain-containing protein	Homo sapiens	unreviewed	9606	474	251..403	VRK3
A0A024QZJ8	Protein kinase domain-containing protein	Homo sapiens	unreviewed	9606	240	4..92,106..230	CDC2
A0A024QZP7	Protein kinase domain-containing protein	Homo sapiens	unreviewed	9606	297	4..287	CDK1
A0A024QZU1	Protein kinase domain-containing protein	Homo sapiens	unreviewed	9606	630	168..239,369..583	EIF2AK1
A0A024QZV1	Serine/threonine-protein kinase PLK	Homo sapiens	unreviewed	9606	685	84..334	PLK2
A0A024QZY5	Serine/threonine-protein kinase PRP4 homolog	Homo sapiens	unreviewed	9606	1007	689..1003	PRPF4B
A0A024R049	Protein kinase domain-containing protein	Homo sapiens	unreviewed	9606	312	1..201	MGC42105
A0A024R0I0	dual-specificity kinase	Homo sapiens	unreviewed	9606	629	111..431	DYRK1B
A0A024R0J1	non-specific serine/threonine protein kinase	Homo sapiens	unreviewed	9606	591	326..572	PAK4
A0A024R0J6	dual-specificity kinase	Homo sapiens	unreviewed	9606	589	111..391	DYRK1B
A0A024R0L5	[tau protein] kinase	Homo sapiens	unreviewed	9606	483	119..403	GSK3A
A0A024R0L8	non-specific serine/threonine protein kinase	Homo sapiens	unreviewed	9606	438	173..419	PAK4
A0A024R0M8	dual-specificity kinase	Homo sapiens	unreviewed	9606	601	111..403	DYRK1B
