accession id	name	scientific name	source database	taxId	length	entry protein locations	gene names
A0A024R0S8	BRCT domain-containing protein	Homo sapiens	unreviewed	9606	633	317..389	XRCC1
A0A024R1V0	Breast cancer type 1 susceptibility protein	Homo sapiens	unreviewed	9606	759	540..619,654..738	BRCA1
A0A024R1V7	Breast cancer type 1 susceptibility protein	Homo sapiens	unreviewed	9606	719	500..579,614..698	BRCA1
A0A024R1V8	Breast cancer type 1 susceptibility protein	Homo sapiens	unreviewed	9606	1598	1493..1577	BRCA1
A0A024R1W0	Breast cancer type 1 susceptibility protein	Homo sapiens	unreviewed	9606	1822	1603..1682,1717..1801	BRCA1
A0A024R1Y0	Breast cancer type 1 susceptibility protein	Homo sapiens	unreviewed	9606	1863	1644..1723,1758..1842	BRCA1
A0A024R1Y1	Breast cancer type 1 susceptibility protein	Homo sapiens	unreviewed	9606	1624	1519..1603	BRCA1
A0A024R1Z8	Breast cancer type 1 susceptibility protein	Homo sapiens	unreviewed	9606	721	502..581,616..700	BRCA1
A0A024R3T8	Poly [ADP-ribose] polymerase	Homo sapiens	unreviewed	9606	1014	387..461	PARP1
A0A024RE06	DNA ligase	Homo sapiens	unreviewed	9606	911	656..730,826..898	LIG4
A0A087X2H0	BRCA1 associated RING domain 1	Homo sapiens	unreviewed	9606	641	435..504	BARD1
A0A0A0MR03	protein-serine/threonine phosphatase	Homo sapiens	unreviewed	9606	392	201..256	CTDP1
A0A0C4DG07	Nibrin	Homo sapiens	unreviewed	9606	672	33..97	NBN
A0A0C4DGV9	DNA ligase	Homo sapiens	unreviewed	9606	844	589..663,759..831	LIG4
A0A0J9YWB6	RNA polymerase II subunit A C-terminal domain phosphatase	Homo sapiens	unreviewed	9606	805	660..715	CTDP1
A0A0J9YWJ4	RNA polymerase II subunit A C-terminal domain phosphatase	Homo sapiens	unreviewed	9606	737	592..647	CTDP1
A0A2R8Y7V5	BRCT domain-containing protein	Homo sapiens	unreviewed	9606	659	440..519,554..638	BRCA1
A0A2R8YD63	BRCT domain-containing protein	Homo sapiens	unreviewed	9606	1517	196..271,350..426,544..615,638..718,897..972,1257..1332	TOPBP1
A0A386IN41	Breast cancer type 1 susceptibility protein	Homo sapiens	unreviewed	9606	1835	1644..1723,1731..1814	BRCA1
A0A386IN52	Breast cancer type 1 susceptibility protein	Homo sapiens	unreviewed	9606	1791	1644..1723	BRCA1
