accession id	name	scientific name	source database	taxId	length	entry protein locations	gene names
A0A024R0Q7	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	499	236..429	PPP5C
A0A024R395	Double-strand break repair protein	Homo sapiens	unreviewed	9606	708	13..249	MRE11A
A0A024R625	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	307	48..241	PPP4C
A0A024R7F8	Tartrate-resistant acid phosphatase type 5	Homo sapiens	unreviewed	9606	325	26..243	ACP5
A0A024R861	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	305	47..239	PPP6C
A0A024RBP2	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	323	59..251	PPP1CC
A0A024RBZ9	Serine/threonine-protein phosphatase with EF-hands	Homo sapiens	unreviewed	9606	653	167..407	PPEF1
A0A087WYY5	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	140	59..139	PPP1CC
A0A0A0MR93	Metallophosphoesterase 1	Homo sapiens	unreviewed	9606	374	71..284	MPPE1
A0A0C4DH11	Metallophosphoesterase 1	Homo sapiens	unreviewed	9606	243	13..209	MPPE1
A0A0S2Z438	Calcineurin-like phosphoesterase domain-containing protein	Homo sapiens	unreviewed	9606	114	13..87	MRE11A
A0A0S2Z4B5	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	511	84..283	PPP3CA
A0A0S2Z4C6	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	521	84..283	PPP3CA
A0A140VJS0	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	309	51..244	
A0A140VJS9	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	341	70..262	
A0A7I2V4F7	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	335	64..256	PPP1CA
A0A8I5KXD3	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	563	77..317	PPEF1
A0A8I5QKI8	Serine/threonine-protein phosphatase	Homo sapiens	unreviewed	9606	506	167..407	PPEF1
A0A8Q3SI79	Tartrate-resistant acid phosphatase type 5	Homo sapiens	unreviewed	9606	324	26..242	ACP5
A0A8Q3WKS1	Tartrate-resistant acid phosphatase type 5	Homo sapiens	unreviewed	9606	299	26..217	ACP5
