accession id	name	scientific name	source database	taxId	length	entry protein locations	gene names
A0A024R0I4	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	155	77..141	FLJ13265
A0A024R6K1	Cyclin K, isoform CRA_c	Homo sapiens	unreviewed	9606	580	42..155	CCNK
A0A024R9B0	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	404	113..239	CCNE2
A0A024RC20	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	368	262..350	CABLES1
A0A024RDC7	Cyclin-like domain-containing protein	Homo sapiens	unreviewed	9606	344	23..153	CCNG2
A0A024RDH0	Cyclin-like domain-containing protein	Homo sapiens	unreviewed	9606	377	28..142	CCNI
A0A087X0G9	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	96	33..87	CCNQ
A0A087X1W3	Cyclin-like domain-containing protein	Homo sapiens	unreviewed	9606	170	23..90	CCNQ
A0A0G3DHS8	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	365	115..238	pCCNE1
A0A140VJG0	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	464	213..339	
A0A1W2PQ16	Cyclin-like domain-containing protein	Homo sapiens	unreviewed	9606	184	13..149	CCNT1
A0A2R8Y7P8	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	94	36..93	CCNJL
A0A2R8YEM2	Cyclin-H	Homo sapiens	unreviewed	9606	325	75..158	CCNH
A0A2R8YFU1	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	130	36..93	CCNJL
A0A3B3IT44	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	245	26..151	
A0A6Q8PFP0	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	446	26..151	
A0A6Q8PGZ3	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	303	26..151	CCND2
A0A8V8TMC4	Cyclin-Y-like protein 1B	Homo sapiens	reviewed	9606	285	111..209	CCNYL1B
A7K6Y5	Cyclin N-terminal domain-containing protein	Homo sapiens	unreviewed	9606	633	528..615	CABL1
A8K4M5	Cyclin-T1	Homo sapiens	unreviewed	9606	726	13..149	
