accession id	name	scientific name	source database	taxId	length	entry protein locations	gene names
A0A024RAI1	ARP3 actin-related protein 3 homolog (Yeast), isoform CRA_a	Homo sapiens	unreviewed	9606	418	5..238,268..409	ACTR3
A0A0A0MTI9	Actin related protein 3C	Homo sapiens	unreviewed	9606	189	1..102	ACTR3C
A0A140VJD5	Testicular tissue protein Li 15	Homo sapiens	unreviewed	9606	416	49..238,248..415	
A0A140VK03	Actin-like protein 7A	Homo sapiens	unreviewed	9606	435	69..435	
A0A140VKC6	Testis tissue sperm-binding protein Li 43a	Homo sapiens	unreviewed	9606	415	48..415	
A0A173GMX0	Actin alpha cardiac muscle 1	Homo sapiens	unreviewed	9606	63	1..62	ACTC1
A0A173GMX4	Actin alpha cardiac muscle 1	Homo sapiens	unreviewed	9606	47	3..47	ACTC1
A0A1B0GVS3	Actin related protein 1A	Homo sapiens	unreviewed	9606	221	9..209	ACTR1A
A0A1B0GWD0	Actin related protein 2	Homo sapiens	unreviewed	9606	53	7..42	ACTR2
A0A1B0GWH0	Actin related protein 2	Homo sapiens	unreviewed	9606	65	7..44	ACTR2
A0A2R8Y793	Actin beta	Homo sapiens	unreviewed	9606	309	3..307	ACTB
A0A2R8YEA7	Actin beta	Homo sapiens	unreviewed	9606	157	1..150	ACTB
A0A2R8YFE2	Actin beta	Homo sapiens	unreviewed	9606	79	2..79	ACTB
A0A2R8YGF8	Actin, cytoplasmic 1	Homo sapiens	unreviewed	9606	165	3..165	ACTB
A0A384NQ21	Epididymis secretory sperm binding protein	Homo sapiens	unreviewed	9606	376	9..375	
A0A6Q8PFE4	Actin beta	Homo sapiens	unreviewed	9606	332	7..332	ACTB
A0A6Q8PGD7	Actin beta	Homo sapiens	unreviewed	9606	40	3..36	ACTB
A0A6Q8PH58	Actin beta	Homo sapiens	unreviewed	9606	151	3..122	ACTB
A0A7P0TBL1	Actin, cytoplasmic 2	Homo sapiens	unreviewed	9606	59	3..37	ACTG1
A0A804GS07	ACTG protein	Homo sapiens	unreviewed	9606	366	3..366	ACTG1
