accession id	name	scientific name	source database	taxId	length	entry protein locations	gene names
A0A024QZ36	SOCS box domain-containing protein	Homo sapiens	unreviewed	9606	275	14..53,60..96,102..138,165..192,210..232	WSB1
A0A024QZ51	SOCS box domain-containing protein	Homo sapiens	unreviewed	9606	421	160..199,206..242,248..284,311..338,356..378	WSB1
A0A024R0H7	Testis tissue sperm-binding protein Li 44a	Homo sapiens	unreviewed	9606	342	123..153,160..196	WDR77
A0A024R150	Coronin	Homo sapiens	unreviewed	9606	525	79..111,172..208	CORO2A
A0A024R189	LisH domain-containing protein	Homo sapiens	unreviewed	9606	522	173..207,229..262,268..304,351..387,393..438,442..480	TBL1Y
A0A024R2L1	WD repeat-containing protein 48	Homo sapiens	unreviewed	9606	677	31..58,68..103,108..145,161..196,203..238,243..278	WDR48
A0A024R333	Transmembrane protein 113, isoform CRA_a	Homo sapiens	unreviewed	9606	313	15..49,98..135,229..267	TMEM113
A0A024R488	FYVE-type domain-containing protein	Homo sapiens	unreviewed	9606	410	16..51,106..138,191..227,238..270,360..394	WDFY1
A0A024R494	Autophagy-related protein 16 domain-containing protein	Homo sapiens	unreviewed	9606	588	296..330,339..374,381..417,519..543,555..585	ATG16L1
A0A024R4B6	ATG16 autophagy related 16-like 1 (S. cerevisiae), isoform CRA_f	Homo sapiens	unreviewed	9606	463	171..205,214..249,256..292,394..418,430..460	ATG16L1
A0A024R5K1	Coronin	Homo sapiens	unreviewed	9606	489	77..110,123..161,175..204	CORO1B
A0A024R5N4	WD repeat domain 71, isoform CRA_a	Homo sapiens	unreviewed	9606	375	73..102,108..145,150..187	WDR71
A0A024R5R9	Guanine nucleotide binding protein (G protein), beta 5, isoform CRA_a	Homo sapiens	unreviewed	9606	353	55..91,106..132,151..181,185..225,229..267,287..311,317..352	GNB5
A0A024R5V2	RAVE complex protein Rav1 C-terminal domain-containing protein	Homo sapiens	unreviewed	9606	3036	171..197,2933..2969	DMXL2
A0A024R5V3	Guanine nucleotide binding protein (G protein), beta 5, isoform CRA_b	Homo sapiens	unreviewed	9606	395	97..133,148..174,193..223,227..267,271..309,329..353,359..394	GNB5
A0A024R5W0	Hect (Homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1, isoform CRA_b	Homo sapiens	unreviewed	9606	4861	3423..3456,3622..3653,3738..3775	HERC1
A0A024R5Y0	Guanine nucleotide binding protein (G protein), beta 5, isoform CRA_c	Homo sapiens	unreviewed	9606	325	97..133,157..197,201..239,259..283,289..324	GNB5
A0A024R611	Coronin	Homo sapiens	unreviewed	9606	461	76..109,122..160,175..202	CORO1A
A0A024R667	WD repeat-containing protein 89	Homo sapiens	unreviewed	9606	387	62..98,168..199,318..348	C14orf150
A0A024R6U1	Katanin p80 WD40 repeat-containing subunit B1	Homo sapiens	unreviewed	9606	564	13..49,54..91,96..133,139..175,180..217,224..253	KATNB1
