accession id	name	scientific name	source database	taxId	length	entry protein locations	gene names
A0A024QZR5	MHD domain-containing protein	Homo sapiens	unreviewed	9606	418	165..418	AP3M1
A0A024R654	AP-5 complex subunit mu-1	Homo sapiens	unreviewed	9606	490	197..474	C14orf108
A0A024R7K8	MHD domain-containing protein	Homo sapiens	unreviewed	9606	423	157..422	AP1M1
A0A087WY71	AP-2 complex subunit mu	Homo sapiens	unreviewed	9606	434	159..434	AP2M1
A0A0A6YYG5	Protein STON1-GTF2A1L	Homo sapiens	unreviewed	9606	1135	402..707	STON1-GTF2A1L
A0A384NYL6	MHD domain-containing protein	Homo sapiens	unreviewed	9606	418	165..418	
A0A3B3IU55	Stonin-2	Homo sapiens	unreviewed	9606	977	617..928	STON2
A0A8I5KWD3	AP-2 complex subunit mu	Homo sapiens	unreviewed	9606	364	164..364	AP2M1
B0YIW5	Coatomer subunit delta	Homo sapiens	unreviewed	9606	511	266..501	ARCN1
B0YIW6	Coatomer subunit delta	Homo sapiens	unreviewed	9606	552	307..542	ARCN1
B2RB25	cDNA, FLJ95267, highly similar to Homo sapiens stoned B-like factor (SBLF), mRNA	Homo sapiens	unreviewed	9606	735	402..712	
B3KN68	MHD domain-containing protein	Homo sapiens	unreviewed	9606	423	157..422	
B3KNH5	MHD domain-containing protein	Homo sapiens	unreviewed	9606	423	157..422	
B4DDG7	MHD domain-containing protein	Homo sapiens	unreviewed	9606	351	85..350	
B4DFM1	AP-2 complex subunit mu	Homo sapiens	unreviewed	9606	385	110..385	
B4DJB1	AP-2 complex subunit mu	Homo sapiens	unreviewed	9606	375	100..375	
B4DKN7	MHD domain-containing protein	Homo sapiens	unreviewed	9606	405	127..405	
B4DN99	MHD domain-containing protein	Homo sapiens	unreviewed	9606	370	157..296	
B4DNB9	AP-2 complex subunit mu	Homo sapiens	unreviewed	9606	460	185..460	
B4DRN6	MHD domain-containing protein	Homo sapiens	unreviewed	9606	364	111..364	
